-81.4084,41.642,"Willoughby Post Office"
-82.7002,40.3948,"Sparta Post Office"
-84.6058,39.1556,"Cheviot Post Office (historical)"
-84.7497,39.1614,"Cleves Post Office"
-84.3577,39.1248,"Newtown Post Office (historical)"
-82.7107,41.5945,"Kelleys Island Post Office"
-84.0077,41.5742,"Delta Post Office"
-80.9523,41.8606,"Geneva-on-the-Lake Post Office (historical)"
-82.2043,38.8087,"Gallipolis Post Office"
-80.7687,40.7728,"Lisbon Post Office"
-80.5356,41.0367,"Lowellville Post Office"
-81.8601,39.6476,"Malta Post Office"
-81.8532,39.6481,"McConnelsville Post Office"
-81.4409,41.2417,"Hudson Post Office"
-84.2653,39.6381,"Miamisburg Post Office"
-82.8846,39.8509,"Groveport Post Office"
-84.1266,41.3906,"Napoleon Post Office"
-81.9188,40.5534,"Millersburg Post Office"
-81.104,40.7289,"Minerva Post Office"
-82.3974,40.377,"Gambier Post Office"
-82.2093,39.7134,"New Lexington Post Office"
-82.4871,40.394,"Mount Vernon Post Office"
-84.3891,39.0914,"Mount Washington Post Office (historical)"
-81.8054,39.0487,"Hazael Post Office (historical)"
-82.6343,39.0501,"Jackson Post Office"
-83.2682,40.1084,"Plain City Post Office"
-84.0438,41.0189,"Ottawa Post Office"
-80.979,41.1876,"Newton Falls Post Office"
-80.7693,41.7373,"Jefferson Post Office"
-84.7269,41.0787,"Payne Post Office"
-80.7665,41.1801,"Niles Post Office"
-82.6652,40.9951,"Plymouth Post Office"
-82.0029,41.3967,"North Ridgeville Post Office"
-81.616,41.5401,"Station H Cleveland Post Office"
-97.4542,36.6084,"Polk Post Office (historical)"
-97.5436,33.9257,"Courtney Post Office"
-120.2734,44.679,"Seward Post Office (historical)"
-122.7854,44.5679,"Abberdeen Post Office (historical)"
-119.7117,45.1793,"Adamsville Post Office (historical)"
-121.1484,44.6657,"Air Base Post Office (historical)"
-122.607,45.5776,"Air Base Post Office (historical)"
-122.5907,45.5893,"Airport Mall Post Office"
-123.0979,44.6373,"Albany Post Office"
-118.3496,42.909,"Alberson Post Office (historical)"
-123.5178,46.2336,"Albert Post Office (historical)"
-123.2429,45.7762,"Albion Post Office (historical)"
-123.3637,43.1479,"Alderbrook Post Office (historical)"
-124.0118,43.9285,"Alene Post Office (historical)"
-122.8665,45.4921,"Aloha Post Office"
-123.4473,42.6379,"Altamont Post Office (historical)"
-120.3506,45.2951,"Alville Post Office (historical)"
-118.5938,42.4182,"Alvord Post Office (historical)"
-118.403,43.0985,"Anderson Post Office (historical)"
-123.7554,45.7015,"Anglersvale Post Office (historical)"
-124.0287,43.0359,"Angora Post Office (historical)"
-117.3699,44.9821,"Anthony Post Office (historical)"
-122.6962,44.9262,"Argenti Post Office (historical)"
-120.8872,43.2068,"Arrow Post Office (historical)"
-118.6269,45.7749,"Arroyo Post Office (historical)"
-122.7089,42.1968,"Ashland Post Office"
-123.8357,46.1896,"Astoria Post Office"
-119.4381,45.619,"Atwood Post Office (historical)"
-123.5037,42.9251,"Azalea Post Office (historical)"
-123.129,45.7479,"Bacona Post Office (historical)"
-120.6834,45.5207,"Badger Post Office (historical)"
-124.3679,42.4665,"Bagnell Post Office (historical)"
-117.8349,44.7682,"Baker City Post Office"
-123.1834,45.6171,"Bakersfield Post Office (historical)"
-124.0548,43.4518,"Baldwin Post Office (historical)"
-124.2373,43.4012,"Bangor Post Office (historical)"
-117.6427,42.8638,"Bar Post Office (historical)"
-123.8768,45.5698,"Bar View Post Office (historical)"
-120.2664,43.9957,"Barnes Post Office (historical)"
-119.6492,44.6776,"Basin Post Office (historical)"
-117.5983,44.4263,"Basin Post Office (historical)"
-124.0393,44.6287,"Bay Post Office (historical)"
-123.0387,46.1262,"Beaver Landing Post Office (historical)"
-122.5345,45.2498,"Beaver Post Office (historical)"
-122.8026,45.4865,"Beaverton Post Office"
-123.8446,44.1348,"Belle Post Office (historical)"
-123.7412,45.0751,"Bellwood Post Office (historical)"
-123.9249,45.9787,"Ben Holladay Post Office (historical)"
-121.3009,44.0629,"Bend Post Office"
-124.2843,42.954,"Bennett Post Office (historical)"
-118.9894,42.6546,"Berdugo Post Office (historical)"
-122.4889,43.7682,"Big Prairie Post Office (historical)"
-123.0776,43.5685,"Blackbutte Post Office (historical)"
-124.3832,42.6423,"Blaine Post Office (historical)"
-123.0809,45.5532,"Blanchet Post Office (historical)"
-119.0072,44.1904,"Blanton Post Office (historical)"
-123.5546,45.2048,"Blind Slough Post Office (historical)"
-118.8746,43.1343,"Blitzen Post Office (historical)"
